gj,nwpri_pca,genuine_dep_pca,poverty_incidence,open_defecation_pct_rgnbc,san_deficit,water_deficit,uninsured_rate,literacy_rate,ntd_pov_belt,buruli_focus,oncho_highrisk,total_pop,n_mmda,DISTRICT,lisa,lisa_p_fdr
KWAHU EAST,-0.349,-0.094,29.399999999999995,5.7,26.5,12.700000000000005,31.299999999999997,76.12,0,0,0,80233,1,KWAHU EAST,Not significant,0.4952
KWAHU SOUTH,-0.362,-0.163,28.800000000000004,5.7,26.5,12.700000000000005,28.580000000000002,76.3,0,0,0,79851,1,KWAHU SOUTH,Not significant,0.4337
KWAHU WEST,-0.644,-1.078,15.1,5.7,26.5,12.700000000000005,16.52,83.49,0,0,0,145429,1,KWAHU WEST,Not significant,0.311
LA DADE-KOTOPON,-1.28,-1.35,8.9,4.9,8.799999999999997,1.5,37.07,94.53,0,0,0,140264,1,LA DADE-KOTOPON,Low-Low,0.026
LA-NKWANTANANG-MADINA,-1.231,-1.217,11.3,4.9,8.799999999999997,1.5,35.27,92.29,0,0,0,220757,1,LA-NKWANTANANG-MADINA,Low-Low,0.0079
LAMBUSSIE-KARNI,1.025,0.9949999999999999,44.2,56.39999999999999,75.0,2.200000000000003,11.419999999999998,49.83,1,0,1,51118,1,LAMBUSSIE-KARNI,Not significant,0.233
LAWRA,0.928,0.611,39.5,56.4,75.0,2.200000000000003,6.05,53.89,1,0,1,58433,1,LAWRA,Not significant,0.201
LEDZOKUKU MUNICIPAL,-1.23,-1.152,11.3,4.9,8.799999999999997,1.5,37.76,91.45,0,0,0,217304,1,LEDZOKUKU MUNICIPAL,Low-Low,0.0079
LOWER MANYA,-0.547,-0.739,19.8,5.7,26.5,12.700000000000005,20.49,80.16,0,0,0,121849,1,LOWER MANYA,Not significant,0.4488
MAMPONG MUNICIPAL,-0.769,-0.472,22.5,9.3,18.599999999999994,3.299999999999997,29.79,79.33,0,0,0,116632,1,MAMPONG MUNICIPAL,Not significant,0.4863
MAMPRUGU MOAGDURI,2.1,2.064,44.5,64.2,79.5,42.5,62.55,41.13,1,0,1,68746,1,MAMPRUGU MOAGDURI,High-High,0.0159
MFANTSEMAN MUNICIPAL,-0.386,-0.18,24.0,12.7,30.200000000000006,9.799999999999995,39.69,76.62,0,0,0,168905,1,MFANTSEMAN MUNICIPAL,Not significant,0.4112
MION,1.991,2.142,53.4,70.6,74.1,29.40000000000001,42.38,39.28,1,0,1,94930,1,MION,High-High,0.0079
MPOHOR,-0.32699999999999996,0.317,31.4,9.6,29.800000000000004,7.599999999999994,48.470000000000006,73.72,1,0,1,52028,1,MPOHOR,Not significant,0.2285
NABDAM,1.734,1.893,68.6,71.3,72.9,4.5,19.84,53.47,1,0,1,53039,1,NABDAM,Not significant,0.1325
NADOWLI-KALEO,0.951,0.694,40.6,56.4,75.0,2.200000000000003,12.82,55.739999999999995,1,0,1,77057,1,NADOWLI-KALEO,Not significant,0.1156
NANDOM,0.7699999999999999,0.24500000000000002,31.800000000000004,56.39999999999999,75.0,2.200000000000003,5.23,56.14999999999999,1,0,1,51328,1,NANDOM,Not significant,0.2504
NANTON,1.713,1.412,39.9,70.6,74.1,29.40000000000001,38.79,44.959999999999994,1,0,1,50767,1,NANTON,Not significant,0.0706
NANUMBA NORTH,1.747,1.482,41.5,70.6,74.1,29.40000000000001,43.86,46.97999999999999,1,0,1,188680,1,NANUMBA NORTH,High-High,0.0079
NANUMBA SOUTH,1.845,1.714,46.29999999999999,70.6,74.1,29.40000000000001,43.470000000000006,45.02,1,0,1,106374,1,NANUMBA SOUTH,High-High,0.0079
NEW JUABEN NORTH MUNICIPAL,-0.737,-1.537,10.6,5.7,26.5,12.700000000000005,11.26,90.13,0,0,0,88716,1,NEW JUABEN NORTH MUNICIPAL,Low-Low,0.0439
NEW JUABEN SOUTH MUNICIPAL,-0.78,-1.619,8.5,5.7,26.5,12.700000000000005,12.52,90.89,0,0,0,129741,1,NEW JUABEN SOUTH MUNICIPAL,Not significant,0.0897
NINGO/PRAMPRAM,-1.063,-0.45799999999999996,19.4,4.9,8.799999999999997,1.5,45.17,82.59999999999998,0,0,0,204673,1,NINGO/PRAMPRAM,Not significant,0.4671
NKORANZA NORTH,0.498,-0.078,25.8,44.0,50.4,17.700000000000003,17.75,65.25,1,0,1,56468,1,NKORANZA NORTH,Not significant,0.4776
NKORANZA SOUTH,0.337,-0.564,18.0,44.0,50.4,17.700000000000003,14.69,70.04,1,0,1,114642,1,NKORANZA SOUTH,Not significant,0.4825
NKWANTA NORTH,1.716,2.487,55.2,50.6,57.2,37.0,73.17,45.07,1,0,1,126096,1,NKWANTA NORTH,High-High,0.0159
NKWANTA SOUTH MUNICIPAL,1.46,1.389,42.8,50.6,57.2,37.0,52.28,55.23,1,0,1,135936,1,NKWANTA SOUTH MUNICIPAL,High-High,0.0159
NORTH DAYI,-0.029000000000000005,-0.344,30.1,21.7,32.8,13.599999999999996,22.86,80.67,1,0,1,39268,1,NORTH DAYI,Not significant,0.3784
NORTH EAST GONJA,2.484,2.622,60.400000000000006,73.6,76.4,41.8,58.900000000000006,40.07,1,0,1,39404,1,NORTH EAST GONJA,High-High,0.0079
NORTH GONJA,2.443,2.565,58.4,73.6,76.4,41.8,59.7,39.96,1,0,1,61443,1,NORTH GONJA,High-High,0.0079
NORTH TONGU,0.143,0.602,38.4,21.7,32.8,13.599999999999994,40.91,69.26,1,0,1,111410,1,NORTH TONGU,Not significant,0.3637
NSAWAM ADOAGYIRI,-0.686,-0.9919999999999999,13.0,5.7,26.5,12.700000000000005,29.260000000000005,84.46,0,0,0,155597,1,NSAWAM ADOAGYIRI,Not significant,0.4966
NZEMA EAST,-0.187,0.838,38.2,9.6,29.800000000000004,7.599999999999995,49.09,65.59,1,0,1,94621,1,NZEMA EAST,Not significant,0.4776
OBUASI EAST,-0.963,-1.171,13.099999999999998,9.3,18.599999999999994,3.299999999999997,17.4,84.52,0,0,0,92401,1,OBUASI EAST,Not significant,0.4112
OBUASI MUNICIPAL,-1.003,-1.3120000000000003,11.1,9.3,18.599999999999994,3.299999999999997,19.66,87.68,0,0,0,104297,1,OBUASI MUNICIPAL,Not significant,0.3792
OFFINSO MUNICIPAL,-0.748,-0.285,23.5,9.3,18.599999999999994,3.299999999999997,30.809999999999995,75.15,0,0,0,137272,1,OFFINSO MUNICIPAL,Not significant,0.3822
OFFINSO NORTH,-0.526,0.555,34.3,9.3,18.599999999999994,3.299999999999997,33.47,62.61000000000001,0,0,0,83440,1,OFFINSO NORTH,Not significant,0.2711
OFORIKROM MUNICIPAL,-1.026,-1.373,10.0,9.3,18.599999999999994,3.299999999999997,23.01,89.9,0,0,0,213126,1,OFORIKROM MUNICIPAL,Low-Low,0.0079
OKAIKWEI NORTH MUNICIPAL,-1.235,-1.237,11.1,4.9,8.799999999999997,1.5,33.88,92.04,0,0,0,160446,1,OKAIKWEI NORTH MUNICIPAL,Low-Low,0.0079
OKERE,-0.46,-0.31,24.0,5.7,26.5,12.700000000000005,35.07,78.47,0,0,0,51675,1,OKERE,Not significant,0.0847
OLD TAFO MUNICIPAL,-1.042,-1.324,9.2,9.3,18.599999999999994,3.299999999999997,24.65,88.27,0,0,0,114368,1,OLD TAFO MUNICIPAL,Low-Low,0.0079
PRESTEA/HUNI VALLEY,-0.366,0.236,29.5,9.6,29.8,7.599999999999994,48.87,74.26,1,0,1,229301,1,PRESTEA/HUNI VALLEY,Not significant,0.2581
PRU EAST,0.591,0.54,30.3,44.0,50.4,17.700000000000003,28.239999999999995,56.13999999999999,1,0,1,100840,1,PRU EAST,High-High,0.0344
PRU WEST,0.756,1.141,38.3,44.0,50.4,17.700000000000003,41.22,52.66,1,0,1,69820,1,PRU WEST,Not significant,0.2881
PUSIGA,1.162,0.977,40.8,71.3,72.9,4.5,8.45,45.17,1,0,1,80533,1,PUSIGA,Not significant,0.2848
SABOBA,1.837,1.076,46.0,70.6,74.1,29.400000000000006,21.53,54.1,1,0,1,95683,1,SABOBA,Not significant,0.1034
SAGNERIGU,1.276,-0.564,18.7,70.6,74.1,29.400000000000006,18.26,72.49,1,0,1,341711,1,SAGNERIGU,Low-High,0.0186
SAVELUGU,1.738,1.228,41.1,70.6,74.1,29.40000000000001,35.83,50.61,1,0,1,122888,1,SAVELUGU,Not significant,0.0513
SAWLA-TUNA-KALBA,2.356,2.114,54.20000000000001,73.6,76.40000000000002,41.79999999999999,42.85,41.27,1,0,1,112664,1,SAWLA-TUNA-KALBA,High-High,0.0124
SEFWI AKONTOMBRA,0.029,0.324,24.5,6.3,50.9,18.5,27.02,55.72,1,0,1,66689,1,SEFWI AKONTOMBRA,Not significant,0.2238
SEFWI-WIAWSO,0.21,0.083,33.3,6.3,50.9,18.5,24.68,71.92,1,0,1,151220,1,SEFWI-WIAWSO,Not significant,0.4261
SEKONDI TAKORADI METROPOLIS,-0.767,-1.429,10.1,9.6,29.8,7.599999999999994,20.06,90.35,1,0,1,245382,1,SEKONDI TAKORADI METROPOLIS,Not significant,0.3532
SEKYERE AFRAM PLAINS NORTH,-0.191,2.063,50.5,9.3,18.599999999999994,3.299999999999997,63.4,48.3,0,0,0,33226,1,SEKYERE AFRAM PLAINS NORTH,Not significant,0.238
SEKYERE CENTRAL,-0.412,0.8999999999999999,39.8,9.3,18.599999999999994,3.299999999999997,52.34,66.98,0,0,0,73228,1,SEKYERE CENTRAL,Not significant,0.3327
SEKYERE EAST,-0.876,-0.868,17.3,9.3,18.599999999999994,3.299999999999997,23.59,82.79,0,0,0,74789,1,SEKYERE EAST,Not significant,0.2524
SEKYERE KUMAWU,-0.739,-0.341,23.9,9.3,18.599999999999994,3.299999999999997,35.78,79.67,0,0,0,64396,1,SEKYERE KUMAWU,Not significant,0.4459
SEKYERE SOUTH,-0.767,-0.607,22.6,9.3,18.599999999999994,3.299999999999997,26.93,82.26,0,0,0,120076,1,SEKYERE SOUTH,Not significant,0.1275
SENE EAST,0.9859999999999999,1.668,49.5,44.0,50.4,17.700000000000003,43.63,50.1,1,0,1,72081,1,SENE EAST,High-High,0.0079
SENE WEST,0.518,0.415,26.8,44.0,50.4,17.700000000000003,20.33,52.37,1,0,1,70104,1,SENE WEST,High-High,0.0079
SHAI OSUDOKU,-0.98,-0.423,23.5,4.9,8.799999999999997,1.5,28.74,78.45,0,0,0,105610,1,SHAI OSUDOKU,Not significant,0.499
SHAMA,-0.522,-0.473,22.0,9.6,29.8,7.599999999999994,30.4,79.07,1,0,1,117224,1,SHAMA,Not significant,0.4863
SISSALA EAST,0.709,0.373,28.8,56.4,75.0,2.200000000000003,16.53,54.14,1,0,1,80619,1,SISSALA EAST,High-High,0.0079
SISSALA WEST,0.78,0.568,32.3,56.4,75.0,2.200000000000003,12.48,50.16,1,0,1,63828,1,SISSALA WEST,Not significant,0.0935
SOUTH DAYI,-0.052,-0.351,29.0,21.7,32.8,13.599999999999994,20.93,78.72,1,0,1,57518,1,SOUTH DAYI,Not significant,0.4271
SOUTH TONGU,0.019000000000000003,0.217,32.4,21.7,32.8,13.599999999999994,34.34,71.3,1,0,1,113114,1,SOUTH TONGU,Not significant,0.3013
SUAMAN,0.299,1.479,37.5,6.3,50.9,18.5,58.99000000000001,49.66,1,0,1,38268,1,SUAMAN,Not significant,0.2815
SUAME MUNICIPAL,-1.052,-1.402,8.7,9.3,18.599999999999994,3.299999999999997,23.69,89.66,0,0,0,136290,1,SUAME MUNICIPAL,Low-Low,0.0079
SUHUM MUNICIPAL,-0.592,-0.726,17.6,5.7,26.5,12.700000000000005,28.55,81.09,0,1,0,126403,1,SUHUM MUNICIPAL,Low-Low,0.0463
SUNYANI MUNICIPAL,-0.681,-1.378,10.9,13.0,30.8,8.200000000000003,11.18,85.53,1,0,1,193595,1,SUNYANI MUNICIPAL,Not significant,0.201
SUNYANI WEST,-0.543,-0.861,17.6,13.0,30.8,8.200000000000003,15.61,79.17,1,0,1,136022,1,SUNYANI WEST,Not significant,0.0953
TAIN,-0.463,-0.157,21.5,13.0,30.8,8.200000000000003,19.060000000000002,63.45,1,0,1,115568,1,TAIN,Not significant,0.238
TALENSI,1.479,1.237,56.2,71.3,72.9,4.5,18.85,59.309999999999995,1,0,1,87021,1,TALENSI,Not significant,0.1156
TAMALE METROPOLITAN,1.324,-0.155,21.0,70.6,74.1,29.40000000000001,26.65,66.39,1,0,1,367324,1,TAMALE METROPOLITAN,Low-High,0.0079
TANO NORTH MUNICIPAL,0.025,-0.653,21.6,11.8,50.2,18.40000000000001,14.1,76.55,1,0,1,93838,1,TANO NORTH MUNICIPAL,Not significant,0.2503
TANO SOUTH MUNICIPAL,0.069,-0.336,23.7,11.8,50.199999999999996,18.40000000000001,20.45,72.09,1,0,1,86989,1,TANO SOUTH MUNICIPAL,Not significant,0.4863
TARKWA NSUAEM,-0.6,-0.743,18.2,9.6,29.8,7.599999999999994,28.38,82.18,1,0,1,219109,1,TARKWA NSUAEM,Not significant,0.2815
TATALE SANGULI,1.971,2.008,52.4,70.6,74.1,29.400000000000006,48.75,45.28,1,0,1,74805,1,TATALE SANGULI,Not significant,0.3013
TECHIMAN MUNICIPAL,0.16800000000000004,-1.116,9.8,44.0,50.4,17.700000000000003,11.53,76.39,1,0,1,243335,1,TECHIMAN MUNICIPAL,Not significant,0.3327
TECHIMAN NORTH,0.276,-0.768,15.0,44.0,50.4,17.700000000000003,14.99,73.12,1,0,1,102529,1,TECHIMAN NORTH,Not significant,0.3886
TEMA METROPOLITAN,-1.224,-0.9369999999999999,11.6,4.9,8.799999999999997,1.5,45.19,88.65,0,0,0,174494,1,TEMA METROPOLITAN,Not significant,0.1372
TEMA WEST MUNICIPAL,-1.294,-1.342,8.2,4.9,8.799999999999997,1.5,39.21,94.51,0,0,0,196224,1,TEMA WEST MUNICIPAL,Not significant,0.325
TEMPANE,1.366,1.486,50.70000000000001,71.3,72.9,4.5,18.29,45.21,1,0,1,86993,1,TEMPANE,Not significant,0.2377
TOLON,2.076,2.285,57.5,70.6,74.1,29.40000000000001,52.02,43.98,1,0,1,118090,1,TOLON,High-High,0.0124
TWIFO ATTI-MORKWA,-0.179,0.378,34.1,12.7,30.200000000000003,9.799999999999995,44.01,72.78,0,0,0,100851,1,TWIFO ATTI-MORKWA,Not significant,0.4257
TWIFO HEMANG LOWER DENKYIRA,-0.219,0.435,32.1,12.7,30.200000000000003,9.799999999999995,55.39,74.12,0,0,0,66075,1,TWIFO HEMANG LOWER DENKYIRA,Not significant,0.499
UPPER DENKYIRA EAST MUNICIPAL,-0.381,-0.4179999999999999,24.300000000000004,12.7,30.200000000000003,9.799999999999995,27.9,78.79,0,0,0,110141,1,UPPER DENKYIRA EAST MUNICIPAL,Not significant,0.311
UPPER DENKYIRA WEST,-0.375,0.125,24.5,12.7,30.200000000000006,9.799999999999995,48.34,71.84,0,0,0,91025,1,UPPER DENKYIRA WEST,Not significant,0.4863
UPPER MANYA,-0.281,0.501,32.7,5.7,26.5,12.700000000000005,38.15,64.69,0,0,0,70612,1,UPPER MANYA,Not significant,0.4966
UPPER WEST AKIM,-0.342,0.333,29.7,5.7,26.5,12.700000000000005,49.22,71.67,0,0,0,95855,1,UPPER WEST AKIM,Not significant,0.3784
WA EAST,1.119,1.722,48.7,56.4,75.0,2.200000000000003,31.36,41.8,1,0,1,91457,1,WA EAST,High-High,0.0079
WA MUNICIPAL,0.456,-0.767,16.5,56.39999999999999,75.0,2.200000000000003,10.89,72.85,1,0,1,200672,1,WA MUNICIPAL,Low-High,0.0124
WA WEST,1.39,2.146,61.9,56.4,75.0,2.200000000000003,30.870000000000005,43.3,1,0,1,96957,1,WA WEST,Not significant,0.0971
WASSA AMENFI CENTRAL,-0.2,0.775,37.6,9.6,29.8,7.599999999999994,47.02,65.89,1,0,1,117999,1,WASSA AMENFI CENTRAL,Not significant,0.4488
WASSA AMENFI EAST,-0.243,0.621,35.5,9.6,29.8,7.599999999999994,45.97,67.79,1,0,1,179696,1,WASSA AMENFI EAST,Not significant,0.4863
WASSA AMENFI WEST,-0.462,-0.114,24.9,9.6,29.8,7.599999999999994,27.83,70.07,1,0,1,131000,1,WASSA AMENFI WEST,Not significant,0.3214
WASSA EAST,-0.191,0.8070000000000002,38.0,9.6,29.800000000000004,7.599999999999994,53.39999999999999,68.33,1,0,1,99641,1,WASSA EAST,Not significant,0.4952
WEIJA GBAWE MUNICIPAL,-1.284,-1.241,8.7,4.9,8.799999999999997,1.5,39.68999999999999,92.18,0,0,0,213674,1,WEIJA GBAWE MUNICIPAL,Low-Low,0.0224
WENCHI MUNICIPAL,-0.42,-0.152,23.6,13.0,30.8,8.200000000000003,20.26,66.24,1,0,1,124758,1,WENCHI MUNICIPAL,Not significant,0.311
WEST AKIM,-0.467,-0.372,23.7,5.7,26.5,12.700000000000006,28.110000000000003,76.80999999999999,0,0,0,117681,1,WEST AKIM,Not significant,0.4112
WEST GONJA,2.055,0.469,39.7,73.6,76.4,41.8,8.88,59.81,1,0,1,63449,1,WEST GONJA,High-High,0.0079
WEST MAMPRUSI MUNICIPAL,2.036,0.847,41.5,64.2,79.5,42.5,15.36,53.2,1,0,1,175755,1,WEST MAMPRUSI MUNICIPAL,High-High,0.0079
YENDI MUNICIPAL,1.679,0.841,38.3,70.6,74.1,29.40000000000001,23.76,53.75,1,0,1,154421,1,YENDI MUNICIPAL,High-High,0.0124
YILO KROBO,-0.512,-0.499,21.5,5.7,26.5,12.700000000000005,29.42,78.86,0,0,0,122398,1,YILO KROBO,Low-Low,0.0409
YUNYOO-NASUAN,2.353,2.04,56.9,64.2,79.5,42.5,33.07,41.98,1,0,1,56879,1,YUNYOO-NASUAN,Not significant,0.054
ZABZUGU,1.7710000000000001,1.541,42.7,70.6,74.1,29.40000000000001,39.02,44.23,1,0,1,82846,1,ZABZUGU,High-High,0.0124
