gj,nwpri_pca,genuine_dep_pca,poverty_incidence,open_defecation_pct_rgnbc,san_deficit,water_deficit,uninsured_rate,literacy_rate,ntd_pov_belt,buruli_focus,oncho_highrisk,total_pop,n_mmda,DISTRICT,lisa,lisa_p_fdr
AMANSIE WEST,-0.593,0.243,31.0,9.3,18.599999999999994,3.299999999999997,43.02,73.0,0,1,0,112627,1,AMANSIE WEST,Not significant,0.2656
ANLOGA,0.004,0.403,31.6,21.7,32.8,13.599999999999994,43.92,69.17,1,0,1,94895,1,ANLOGA,Not significant,0.4863
AOWIN,0.289,0.705,37.1,6.3,50.9,18.5,33.75,61.26,1,0,1,133257,1,AOWIN,Not significant,0.3093
ASANTE AKIM CENTRAL MUNICIPAL,-0.884,-0.941,16.9,9.3,18.599999999999994,3.299999999999997,19.68,82.78,0,0,0,91673,1,ASANTE AKIM CENTRAL MUNICIPAL,Not significant,0.2848
ASANTE AKIM NORTH,-0.696,-0.178,26.0,9.3,18.599999999999994,3.299999999999997,34.0,76.15,0,1,0,85202,1,ASANTE AKIM NORTH,Not significant,0.4966
ASANTE AKIM SOUTH,-0.725,-0.193,24.6,9.3,18.599999999999994,3.299999999999997,32.61,74.38,0,0,0,123633,1,ASANTE AKIM SOUTH,Not significant,0.4908
ASENE AKROSO MANSO,-0.42500000000000004,-0.23799999999999996,25.7,5.7,26.5,12.700000000000005,30.19,75.89,0,0,0,77498,1,ASENE AKROSO MANSO,Not significant,0.2462
ASHAIMAN MUNICIPAL,-1.309,-1.241,7.5,4.9,8.799999999999997,1.5,35.07,88.68,0,0,0,208060,1,ASHAIMAN MUNICIPAL,Not significant,0.2375
ASIKUMA-ODOBEN-BRAKWA,-0.284,0.02,29.0,12.7,30.200000000000003,9.799999999999995,36.64,74.64,0,0,0,126993,1,ASIKUMA-ODOBEN-BRAKWA,Not significant,0.4863
ASOKORE MAMPONG MUNICIPAL,-0.999,-1.067,11.3,9.3,18.599999999999994,3.2999999999999976,20.28,80.65,0,0,0,191402,1,ASOKORE MAMPONG MUNICIPAL,Low-Low,0.0079
ASOKWA  MUNICIPAL,-1.1020000000000003,-1.62,6.3,9.3,18.599999999999994,3.299999999999997,14.25,89.27,0,0,0,125642,1,ASOKWA  MUNICIPAL,Low-Low,0.0124
ASSIN FOSU,-0.508,-0.756,18.1,12.7,30.2,9.799999999999995,34.53,85.36,0,0,0,88753,1,ASSIN FOSU,Not significant,0.4288
ASSIN NORTH,-0.223,0.356,31.900000000000002,12.7,30.200000000000003,9.799999999999995,47.2,72.49,0,0,0,80539,1,ASSIN NORTH,Not significant,0.4863
ASSIN SOUTH,-0.317,-0.033,27.4,12.7,30.200000000000003,9.799999999999995,36.3,74.33,0,0,0,105995,1,ASSIN SOUTH,Not significant,0.4863
ASUNAFO NORTH MUNICIPAL,0.117,-0.394,26.1,11.8,50.2,18.40000000000001,14.24,73.68,1,0,1,151258,1,ASUNAFO NORTH MUNICIPAL,Not significant,0.4829
ASUNAFO SOUTH,0.122,0.198,26.2,11.8,50.2,18.40000000000001,47.5,71.11,1,0,1,91693,1,ASUNAFO SOUTH,Not significant,0.4843
ASUOGYAMAN,-0.506,-0.69,21.800000000000004,5.700000000000001,26.5,12.700000000000005,21.4,81.33,0,0,0,101256,1,ASUOGYAMAN,Not significant,0.3532
ASUTIFI NORTH,0.128,-0.354,26.6,11.8,50.2,18.40000000000001,17.3,74.45,1,0,1,73556,1,ASUTIFI NORTH,Not significant,0.1325
ASUTIFI SOUTH,0.058,-0.292,23.2,11.8,50.2,18.40000000000001,21.67,70.74,1,0,1,67334,1,ASUTIFI SOUTH,Not significant,0.4337
ATEBUBU AMANTIN,0.56,0.351,28.8,44.0,50.4,17.700000000000003,25.49,59.00999999999999,1,0,1,144947,1,ATEBUBU AMANTIN,Not significant,0.1051
ATIWA EAST,-0.576,-0.822,18.4,5.7,26.5,12.700000000000005,17.86,79.93,0,0,0,64647,1,ATIWA EAST,Not significant,0.1372
ATIWA WEST,-0.5649999999999998,-0.61,18.9,5.7,26.5,12.700000000000005,29.79,79.54,0,0,0,61219,1,ATIWA WEST,Not significant,0.1407
ATWIMA KWANWOMA,-0.948,-1.074,13.8,9.3,18.599999999999994,3.299999999999997,26.15,86.43,0,0,0,234846,1,ATWIMA KWANWOMA,Low-Low,0.0186
ATWIMA MPONUA,-0.716,-0.186,25.1,9.3,18.599999999999994,3.299999999999997,24.13,70.78,0,0,0,155254,1,ATWIMA MPONUA,Not significant,0.4776
ATWIMA NWABIAGYA NORTH,-0.9540000000000001,-1.087,13.5,9.3,18.599999999999994,3.299999999999997,21.41,84.26,0,0,0,155025,1,ATWIMA NWABIAGYA NORTH,Not significant,0.1099
ATWIMA NWABIAGYA SOUTH,-0.9740000000000001,-1.154,12.5,9.3,18.599999999999994,3.299999999999997,23.44,86.17,0,0,0,161893,1,ATWIMA NWABIAGYA SOUTH,Not significant,0.0658
AWUTU SENYA,-0.416,0.096,22.5,12.7,30.2,9.799999999999995,57.32999999999999,74.7,0,0,0,161460,1,AWUTU SENYA,Not significant,0.1287
AWUTU SENYA EAST,-0.661,-1.055,10.6,12.7,30.200000000000003,9.799999999999994,41.97,89.65,0,0,0,236527,1,AWUTU SENYA EAST,Not significant,0.1778
AYAWASO CENTRAL MUNICIPAL,-1.211,-1.009,12.2,4.9,8.799999999999997,1.5,43.81,90.88,0,0,0,94831,1,AYAWASO CENTRAL MUNICIPAL,Low-Low,0.0409
AYAWASO EAST MUNICIPAL,-1.146,-0.646,15.4,4.9,8.799999999999997,1.5,38.87,80.97,0,0,0,53004,1,AYAWASO EAST MUNICIPAL,Low-Low,0.0124
AYAWASO NORTH MUNICIPAL,-1.177,-0.929,13.9,4.9,8.799999999999997,1.5,33.99,85.74,0,0,0,63386,1,AYAWASO NORTH MUNICIPAL,Low-Low,0.0186
AYAWASO WEST,-1.272,-1.367,9.3,4.9,8.799999999999997,1.5,35.1,94.59,0,0,0,75303,1,AYAWASO WEST,Low-Low,0.0079
AYENSUANO,-0.354,0.239,29.099999999999998,5.7,26.5,12.700000000000005,46.51,72.62,0,0,0,94594,1,AYENSUANO,Not significant,0.1067
BANDA,-0.171,0.5940000000000001,35.7,13.0,30.8,8.200000000000003,23.59,58.37,1,0,1,28179,1,BANDA,Not significant,0.4966
BAWKU MUNICIPAL,0.8080000000000002,-0.095,23.6,71.3,72.9,4.5,7.24,58.38,1,0,1,119458,1,BAWKU MUNICIPAL,Low-High,0.0344
BAWKU WEST,1.302,1.192,47.6,71.3,72.9,4.5,12.63,48.13,1,0,1,144189,1,BAWKU WEST,High-High,0.0079
BEKWAI MUNICIPAL,-0.832,-0.708,19.4,9.3,18.599999999999994,3.299999999999997,27.7,82.13,0,0,0,137967,1,BEKWAI MUNICIPAL,Not significant,0.3426
BEREKUM EAST MUNICIPAL,-0.646,-1.3019999999999998,12.6,13.0,30.8,8.200000000000003,11.529999999999998,85.26000000000002,1,0,1,106252,1,BEREKUM EAST MUNICIPAL,Not significant,0.0826
BEREKUM WEST,-0.601,-0.943,14.8,13.0,30.8,8.200000000000003,12.49,77.1,1,0,1,49464,1,BEREKUM WEST,Not significant,0.1034
