GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2015,2015,2015,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,11.73987,12,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2015,2015,2015,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,13.84853,14,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2013,2013,2013,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,8.97029,9,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2008,2008,2008,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,21.7173,22,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2004,2004,2004,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,5.3345,5,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2014,2014,2014,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,19.28711,19,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2006,2006,2006,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,36.08521,36,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2004,2004,2004,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,9.05995,9,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2002,2002,2002,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,2.46017,2,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2017,2017,2017,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,13.11336,13,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2018,2018,2018,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,12.6895,13,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2001,2001,2001,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,27.66708,28,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2013,2013,2013,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,48.47418,48,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2006,2006,2006,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,6.47339,6,,
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,120.7924,120.8,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2001,2001,2001,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,3.66658,4,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2016,2016,2016,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,12.32939,12,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2009,2009,2009,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,19.61149,20,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2003,2003,2003,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.31496,0,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2021,2021,2021,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,62.40283,62,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2011,2011,2011,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,16.04046,16,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2004,2004,2004,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,4.30672,4,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2015,2015,2015,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,33.2496,33,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2007,2007,2007,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,37.81194,38,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2019,2019,2019,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,15.4716,15,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2003,2003,2003,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,30.99122,31,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2006,2006,2006,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,16.52501,17,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2020,2020,2020,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,13.37919,13,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2010,2010,2010,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,9.69915,10,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2014,2014,2014,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,31.5145,32,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2013,2013,2013,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,11.905,12,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2010,2010,2010,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,20.65345,21,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2014,2014,2014,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,9.96958,10,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2005,2005,2005,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,5.05824,5,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2001,2001,2001,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,5.89217,6,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2003,2003,2003,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,6.77868,7,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2016,2016,2016,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,53.99932,54,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2017,2017,2017,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,22.67011,23,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2014,2014,2014,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,11.04591,11,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2012,2012,2012,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,28.12981,28,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2010,2010,2010,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,14.99044,15,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2002,2002,2002,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,29.32197,29,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2012,2012,2012,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,46.66121,47,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2002,2002,2002,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,12.50168,13,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2019,2019,2019,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,13.03724,13,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2016,2016,2016,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,12.75619,13,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2004,2004,2004,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,1.07106,1,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2014,2014,2014,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,12.86518,13,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2007,2007,2007,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,7.04896,7,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2005,2005,2005,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,17.23668,17,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2019,2019,2019,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,59.6538,60,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2007,2007,2007,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,3.48526,3,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2007,2007,2007,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,5.69,6,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2000,2000,2000,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,1.83881,2,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2002,2002,2002,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,13.27552,13,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2005,2005,2005,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,1.85147,2,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2020,2020,2020,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,26.1792,26,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2000,2000,2000,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,11.4723,11,,
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2023,2023,2023,AFR,Africa,GHA,Ghana,,,,87.4613,87.5,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2013,2013,2013,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,10.56004,11,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2006,2006,2006,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,2.65621,3,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2012,2012,2012,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,17.10693,17,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2001,2001,2001,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,2.19128,2,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2020,2020,2020,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,16.47602,16,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2004,2004,2004,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,32.67484,33,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2003,2003,2003,AFR,Africa,GHA,Ghana,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,13.49766,13,,
